Date,Hour,Day,Month,Weekday,Weekday_encoded,temp,humidity,precip,windspeed,conditions_encoded,RollingMean_7,RollingStd_7,Lag_1,Predicted_Sales
2025-04-01,12,1,4,Tuesday,5,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,230.5497400000007
2025-04-02,12,2,4,Wednesday,6,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,230.6698000000005
2025-04-03,12,3,4,Thursday,4,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,231.52230000000046
2025-04-04,12,4,4,Friday,0,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,246.6903400000001
2025-04-05,12,5,4,Saturday,2,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,265.0510800000002
2025-04-06,12,6,4,Sunday,3,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,253.7851600000004
2025-04-07,12,7,4,Monday,1,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,262.08315000000016
2025-04-08,12,8,4,Tuesday,5,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,246.40077000000062
2025-04-09,12,9,4,Wednesday,6,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,247.9026300000004
2025-04-10,12,10,4,Thursday,4,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,249.77955000000048
2025-04-11,12,11,4,Friday,0,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,265.5312300000002
2025-04-12,12,12,4,Saturday,2,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,268.8043600000004
2025-04-13,12,13,4,Sunday,3,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,257.4193000000006
2025-04-14,12,14,4,Monday,1,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,262.2487100000003
2025-04-15,12,15,4,Tuesday,5,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,245.71686000000068
2025-04-16,12,16,4,Wednesday,6,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,246.03570000000045
2025-04-17,12,17,4,Thursday,4,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,246.8995100000005
2025-04-18,12,18,4,Friday,0,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,263.2006400000002
2025-04-19,12,19,4,Saturday,2,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,268.14200000000017
2025-04-20,12,20,4,Sunday,3,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,259.1274300000004
2025-04-21,12,21,4,Monday,1,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,263.8762600000001
2025-04-22,12,22,4,Tuesday,5,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,249.3555400000006
2025-04-23,12,23,4,Wednesday,6,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,250.40896000000043
2025-04-24,12,24,4,Thursday,4,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,252.53510000000048
2025-04-25,12,25,4,Friday,0,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,265.03782000000007
2025-04-26,12,26,4,Saturday,2,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,267.4854900000002
2025-04-27,12,27,4,Sunday,3,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,261.6311900000004
2025-04-28,12,28,4,Monday,1,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,258.4102400000004
2025-04-29,12,29,4,Tuesday,5,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,240.42828000000065
2025-04-30,12,30,4,Wednesday,6,47.1,67.7,0.0,4.6,0.0,362.77285714285716,188.94652971271,319.68,239.66628000000046
