Date,Hour,Day,Month,Weekday,Weekday_encoded,temp,humidity,precip,windspeed,conditions_encoded,RollingMean_7,RollingStd_7,Lag_1,Predicted_Sales
2025-04-01,12,1,4,Tuesday,5,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,549.8868
2025-04-02,12,2,4,Wednesday,6,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,551.0792999999999
2025-04-03,12,3,4,Thursday,4,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,547.4192999999996
2025-04-04,12,4,4,Friday,0,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,684.1979000000003
2025-04-05,12,5,4,Saturday,2,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,975.5255999999986
2025-04-06,12,6,4,Sunday,3,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,977.5989999999991
2025-04-07,12,7,4,Monday,1,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,687.6457000000004
2025-04-08,12,8,4,Tuesday,5,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,524.5638999999994
2025-04-09,12,9,4,Wednesday,6,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,525.7937999999991
2025-04-10,12,10,4,Thursday,4,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,528.4600999999997
2025-04-11,12,11,4,Friday,0,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,684.5692000000004
2025-04-12,12,12,4,Saturday,2,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,973.3560999999985
2025-04-13,12,13,4,Sunday,3,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,974.3173999999987
2025-04-14,12,14,4,Monday,1,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,684.4711000000007
2025-04-15,12,15,4,Tuesday,5,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,522.3230999999997
2025-04-16,12,16,4,Wednesday,6,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,525.8827999999992
2025-04-17,12,17,4,Thursday,4,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,530.7026999999995
2025-04-18,12,18,4,Friday,0,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,681.7302000000008
2025-04-19,12,19,4,Saturday,2,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,972.1712999999978
2025-04-20,12,20,4,Sunday,3,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,973.7213999999994
2025-04-21,12,21,4,Monday,1,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,683.5519000000007
2025-04-22,12,22,4,Tuesday,5,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,527.3438999999995
2025-04-23,12,23,4,Wednesday,6,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,531.5829999999988
2025-04-24,12,24,4,Thursday,4,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,533.2818999999993
2025-04-25,12,25,4,Friday,0,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,679.9348000000009
2025-04-26,12,26,4,Saturday,2,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,969.9173999999996
2025-04-27,12,27,4,Sunday,3,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,971.6947999999998
2025-04-28,12,28,4,Monday,1,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,683.3147000000009
2025-04-29,12,29,4,Tuesday,5,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,527.3892999999996
2025-04-30,12,30,4,Wednesday,6,47.1,67.7,0.0,4.6,0,743.1000000000001,272.73253075739535,597.5,532.4913999999991
