name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
milan,2024-04-01,65.5,49.5,57.7,65.5,47.8,57.6,50.2,77.8,0.27,100,4.17,rain,0,0,41.2,20.6,109.7,1002.1,62.4,6.2,143.7,12.4,7,,2024-04-01T07:02:56,2024-04-01T19:51:57,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LIMC,16080099999,D6875,16076099999,LIME,16066099999,06777099999,LIML,06771099999"
milan,2024-04-02,67.7,42.4,54.7,67.7,42.4,54.7,42.4,69,0.007,100,4.17,rain,0,0,12.1,8.2,268.2,1011.4,27.3,6.1,171.3,14.8,7,,2024-04-02T07:01:03,2024-04-02T19:53:15,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"16080099999,LIMC,D6875,16076099999,LIME,16066099999,06777099999,06771099999,LIML"
milan,2024-04-03,57,51.4,53.8,57,51.4,53.8,46.5,77,0.012,100,20.83,rain,0,0,9.2,8.7,42.2,1015,84.2,6.1,54.3,4.7,2,,2024-04-03T06:59:11,2024-04-03T19:54:33,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"16080099999,D6875,16076099999,16066099999,06771099999"
milan,2024-04-04,66.1,46.1,56.1,66.1,46.1,56,48,76.3,0.036,100,8.33,rain,0,0,11.4,7.8,249.4,1018.4,41.8,6.1,125.4,10.8,6,,2024-04-04T06:57:19,2024-04-04T19:55:50,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16080099999,D6875,16076099999,16066099999,06771099999"
milan,2024-04-05,67.9,49.8,60.1,67.9,49.8,60.1,50.7,72,0,0,0,,0,0,12.8,7.9,264.8,1022.2,41.8,6.2,112.4,9.7,7,,2024-04-05T06:55:27,2024-04-05T19:57:08,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,D6875,16076099999,16066099999,06777099999,06771099999"
milan,2024-04-06,73.2,51.4,61.9,73.2,51.4,61.9,50.9,68.8,0,0,0,,0,0,12.8,6.8,257.6,1022.8,1.9,6.2,165.6,14.1,6,,2024-04-06T06:53:36,2024-04-06T19:58:25,0.92,Clear,Clear conditions throughout the day.,clear-day,"16080099999,D6875,16076099999,16066099999,06771099999"
milan,2024-04-07,75,51.8,63.7,75,51.8,63.7,52,67,0,0,0,,0,0,10.3,6.9,259.5,1020.6,10.1,6.2,155,13.5,6,,2024-04-07T06:51:45,2024-04-07T19:59:43,0.95,Clear,Clear conditions throughout the day.,clear-day,"16080099999,D6875,16076099999,16066099999,06771099999"
milan,2024-04-08,76.9,55.3,66.6,76.9,55.3,66.6,55.9,71.4,0,0,0,,0,0,19.7,6.8,102.2,1016.8,24.7,6.1,177.7,15.3,6,,2024-04-08T06:49:54,2024-04-08T20:01:00,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,D6875,16076099999,16066099999,06777099999,06771099999"
milan,2024-04-09,65.8,57,61,65.8,57,61,55.3,81.7,0.02,100,25,rain,0,0,11.4,7.2,48.3,1014.8,68.3,5,31.7,2.7,1,,2024-04-09T06:48:04,2024-04-09T20:02:18,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16080099999,D6875,16076099999,C7783,16066099999,06771099999"
milan,2024-04-10,56.9,50,52.4,56.9,44.8,52.2,48.5,86.6,1.478,100,50,rain,0,0,46.1,14.2,332.2,1017.5,83.7,5.7,61.7,5.3,5,,2024-04-10T06:46:15,2024-04-10T20:03:35,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16080099999,D6875,16076099999,16066099999,06771099999"
milan,2024-04-11,71.5,51.5,59.9,71.5,51.5,59.9,51.2,75.6,0.022,100,4.17,rain,0,0,17.2,7.6,221.6,1027.2,31.4,6.1,196.1,16.9,7,,2024-04-11T06:44:26,2024-04-11T20:04:53,0.09,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"16080099999,D6875,16076099999,16066099999,06777099999,06771099999"
milan,2024-04-12,77,51.7,64.6,77,51.7,64.6,54.4,72.6,0,0,0,,0,0,15,7,212.3,1028.3,1.3,6.2,196.2,16.9,7,,2024-04-12T06:42:38,2024-04-12T20:06:10,0.12,Clear,Clear conditions throughout the day.,clear-day,"16080099999,D6875,16076099999,16066099999,06771099999"
milan,2024-04-13,80.5,55.2,67.2,80.5,55.2,67.2,56.2,70.7,0,0,0,,0,0,12.8,4.7,156.1,1026.5,23.9,6.2,203.8,17.6,7,,2024-04-13T06:40:51,2024-04-13T20:07:27,0.15,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16080099999,D6875,16076099999,16066099999,06771099999"
milan,2024-04-14,84,55.3,69.8,82.9,55.3,69.7,56.3,66.6,0,0,0,,0,0,13.9,6.9,245.3,1022,28.6,6,209.3,18.1,7,,2024-04-14T06:39:04,2024-04-14T20:08:45,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,D6875,16076099999,16066099999,06777099999,06771099999"
