Punto vendita,Data,Codice,Nome,Quantità,Prezzo,Totale
CAFEZAL_PREMUDA,2023-12-31 16:27:03,5313,MIGNON,2,2,4
CAFEZAL_PREMUDA,2023-12-31 16:27:03,2223,THE DAMMAN,2,5,10
CAFEZAL_PREMUDA,2023-12-31 16:27:03,2271,SERVIZIO,2,0.5,1
CAFEZAL_PREMUDA,2023-12-31 16:26:11,2271,SERVIZIO,2,0.5,1
CAFEZAL_PREMUDA,2023-12-31 16:26:11,2270,COPERTO,1,6,6
CAFEZAL_PREMUDA,2023-12-31 16:26:11,5385,VEGANO NOCCIOLA,1,4.5,4.5
CAFEZAL_PREMUDA,2023-12-31 16:26:11,2022,CAFFE LATTE,1,4.5,4.5
CAFEZAL_SOLFERINO,2023-12-31 16:24:37,1073,BANANA BREAD,1,4.5,4.5
CAFEZAL_SOLFERINO,2023-12-31 16:24:37,5386,HOT CHOCOLATE,2,4,8
CAFEZAL_SOLFERINO,2023-12-31 16:24:37,1014,GARIBALDI,1,1.5,1.5
CAFEZAL_SOLFERINO,2023-12-31 16:23:09,1006,CORTADO OAT,1,3.3,3.3
CAFEZAL_SOLFERINO,2023-12-31 16:22:48,1005,CORTADO,1,2.8,2.8
CAFEZAL_SOLFERINO,2023-12-31 16:22:29,1022,CAFFE LATTE,1,4,4
CAFEZAL_SOLFERINO,2023-12-31 16:22:29,1017,ATLANTICO,1,2,2
CAFEZAL_SOLFERINO,2023-12-31 16:15:50,1014,GARIBALDI,1,1.5,1.5
CAFEZAL_SOLFERINO,2023-12-31 16:14:09,1073,BANANA BREAD,1,4.5,4.5
CAFEZAL_SOLFERINO,2023-12-31 16:14:09,2001,CAPPUCCINO,3,2.5,7.5
CAFEZAL_PREMUDA,2023-12-31 16:07:51,2271,SERVIZIO,1,0.5,0.5
CAFEZAL_PREMUDA,2023-12-31 16:07:51,2001,CAPPUCCINO,1,2,2
CAFEZAL_PREMUDA,2023-12-31 16:07:43,2271,SERVIZIO,2,0.5,1
CAFEZAL_PREMUDA,2023-12-31 16:07:43,2003,FLAT WHITE,2,3.8,7.6
CAFEZAL_PREMUDA,2023-12-31 16:07:17,2001,CAPPUCCINO,1,2,2
CAFEZAL_PREMUDA,2023-12-31 16:07:17,2003,FLAT WHITE,1,3.8,3.8
CAFEZAL_PREMUDA,2023-12-31 16:07:17,2271,SERVIZIO,2,0.5,1
CAFEZAL_SOLFERINO,2023-12-31 16:00:39,1014,GARIBALDI,2,1.5,3
CAFEZAL_PREMUDA,2023-12-31 15:59:18,2014,GARIBALDI,1,1.5,1.5
CAFEZAL_SOLFERINO,2023-12-31 15:56:17,1174,BRIOCHE VUOTA,1,1.8,1.8
CAFEZAL_SOLFERINO,2023-12-31 15:53:33,1133,BRIOCHE CREMA,1,2.8,2.8
CAFEZAL_SOLFERINO,2023-12-31 15:51:20,1018,BRASILE DOPPIO,1,3,3
CAFEZAL_SOLFERINO,2023-12-31 15:51:20,1003,FLAT WHITE,1,3.8,3.8
CAFEZAL_PREMUDA,2023-12-31 15:49:19,2053,AMERICANO,1,2.5,2.5
CAFEZAL_PREMUDA,2023-12-31 15:49:19,2145,BRIOCHE CREMA CARCIOFI,1,5.5,5.5
CAFEZAL_PREMUDA,2023-12-31 15:49:19,2223,THE DAMMAN,2,5,10
CAFEZAL_PREMUDA,2023-12-31 15:49:19,2271,SERVIZIO,3,0.5,1.5
CAFEZAL_PREMUDA,2023-12-31 15:49:19,5362,MONOPORZIONE,1,5.5,5.5
CAFEZAL_SOLFERINO,2023-12-31 15:45:03,1133,BRIOCHE CREMA,2,2.8,5.6
CAFEZAL_PREMUDA,2023-12-31 15:39:26,2270,COPERTO,1,1.5,1.5
CAFEZAL_PREMUDA,2023-12-31 15:39:26,2283,BOTTIGLIA ACQUA,1,1.5,1.5
CAFEZAL_PREMUDA,2023-12-31 15:39:26,5315,SCRAMBLED EGG TOAST,1,7,7
CAFEZAL_PREMUDA,2023-12-31 15:39:26,5330,CHEESECAKE MATE,1,5,5
CAFEZAL_PREMUDA,2023-12-31 15:39:26,5396,SIRACUSA,1,5,5
CAFEZAL_SOLFERINO,2023-12-31 15:39:17,1219,FILTER TIER 3,1,10,10
